"","draw","site_encoded","Intercept","slope"
"190",3373,"3",3.08471479122196,0.0924226333388011
"191",3388,"3",3.01097495606657,0.102227208599362
"192",3395,"3",3.20321071515248,0.0960711744689214
"193",3417,"3",2.93468907921518,0.0973923619782233
"194",3468,"3",2.64238784739454,0.0882221293475741
"195",3515,"3",3.16589032254479,0.0925388215050189
"196",3846,"3",3.05510820463419,0.0921094519850822
"197",3882,"3",3.24908195386853,0.0902062122855168
"198",3888,"3",2.21153552706884,0.0972398754251625
"199",3931,"3",3.06533370162433,0.0878533091674676
"200",3985,"3",2.9313630786583,0.0901748424929402
"201",174,"4",3.13715533306071,0.0919544258244761
"202",233,"4",3.37179992924957,0.0894529953073264
"203",566,"4",2.78533920973416,0.0890893362907599
"204",641,"4",3.0142429093633,0.102232777804974
"205",658,"4",3.35101529924569,0.0964549778882611
"206",708,"4",3.27508791872675,0.104519456994817
"207",794,"4",3.08519640736968,0.0946558393882155
"208",820,"4",2.6609605367656,0.102372240935606
"209",865,"4",2.86002613101525,0.0848102395079496
"210",1008,"4",3.01322466984115,0.100259103631125
"211",1106,"4",2.76462280503659,0.0975704523589895
"212",1118,"4",3.15804166545479,0.0981772868298921
"213",1340,"4",2.80495768133271,0.0974924641695192
"214",1491,"4",2.69899506029482,0.0949784890888183
"215",1494,"4",2.72270546288727,0.0828019667796452
"216",1553,"4",3.29116172956916,0.0913271678231081
"217",1560,"4",3.12257365742693,0.0871387418542745
"218",1620,"4",3.37778093877308,0.0933126143725913
"219",1796,"4",2.40351319890297,0.09555817408101
"220",1886,"4",2.9359323517236,0.0992229173938145
"221",1957,"4",2.85432897595568,0.0865075344229176
"222",1975,"4",3.21656381173749,0.0963698675408239
"223",2083,"4",3.04750149741265,0.0941547751669599
"224",2113,"4",2.9041475392651,0.0956056122310792
"225",2160,"4",3.02735161254906,0.0932226327217183
"226",2397,"4",2.94310840042462,0.0932462486759066
"227",2447,"4",3.09943755841592,0.0992858825257864
"228",2487,"4",2.70774494748076,0.0933237542596194
"229",2543,"4",3.0322661231248,0.0894671933700193
"230",2587,"4",3.15278550186945,0.0969162561827569
"231",2610,"4",2.53514500956743,0.0934859984553203
"232",2652,"4",3.56064973218052,0.0970117962675053
"233",2690,"4",3.13216557547807,0.0948434033536118
"234",2717,"4",2.99611288826112,0.089884945326481
"235",2721,"4",2.92693476812526,0.0994773507661939
"236",2750,"4",2.98388265508698,0.0973088572094417
"237",2784,"4",2.71200489639935,0.0990763303045226
"238",2790,"4",2.87530024125978,0.0839200469382614
"239",2861,"4",2.62980383893358,0.0931310635161144
"240",3373,"4",3.11861830756886,0.0932367845284327
"241",3388,"4",3.17075579648019,0.0911772248388523
"242",3395,"4",2.72477460183213,0.0947937857180107
"243",3417,"4",3.00875949829959,0.0930421253468421
"244",3468,"4",2.75463625878385,0.0946681526974871
"245",3515,"4",3.17412726035523,0.097143885603665
"246",3846,"4",3.08040891699683,0.100562858807649
"247",3882,"4",3.23670589680705,0.0971638784830444
"248",3888,"4",2.34575696694339,0.0931059405891962
"249",3931,"4",2.48895896474284,0.0923384330187011
"250",3985,"4",2.90887394363261,0.101507624525209
"251",174,"5",2.8243613791012,0.0987818522808553
